City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Mashhad,75,IR,1616495016,45,36.297,59.6062,64.4,9.22
Aldan,100,RU,1616495017,96,58.6031,125.3894,-2.07,5.82
Pikesville,5,US,1616495018,77,39.3743,-76.7225,45.0,5.28
Hermanus,1,ZA,1616495018,60,-34.4187,19.2345,79.0,11.99
Port Lincoln,6,AU,1616495019,86,-34.7333,135.8667,62.98,9.6
Wanning,77,CN,1616495020,75,18.8003,110.3967,73.9,7.58
Bambous Virieux,20,MU,1616495021,70,-20.3428,57.7575,87.01,12.66
Jamestown,1,US,1616495000,33,42.097,-79.2353,44.6,6.17
Iqaluit,40,CA,1616495022,62,63.7506,-68.5145,-23.01,24.16
Portland,1,US,1616494572,81,45.5234,-122.6762,39.99,1.92
Hobart,40,AU,1616495024,77,-42.8794,147.3294,64.0,5.75
Te Anau,21,NZ,1616495024,92,-45.4167,167.7167,53.46,2.26
Arraial do Cabo,0,BR,1616495025,88,-22.9661,-42.0278,77.0,8.05
Provideniya,100,RU,1616495026,84,64.3833,-173.3,3.94,5.06
Chapais,75,CA,1616495027,87,49.7834,-74.8492,37.4,4.61
Makakilo City,1,US,1616495027,88,21.3469,-158.0858,71.01,3.44
Nouadhibou,0,MR,1616495028,68,20.931,-17.0347,66.2,17.27
Ponta do Sol,9,PT,1616495029,44,32.6667,-17.1,61.0,1.99
Vangaindrano,93,MG,1616495029,70,-23.35,47.6,84.63,7.05
Luga,20,RU,1616495031,57,58.7372,29.8453,34.11,4.36
East London,40,ZA,1616495032,69,-33.0153,27.9116,75.2,21.85
Mahébourg,20,MU,1616495033,70,-20.4081,57.7,86.0,12.66
Marshall,40,US,1616495018,58,34.3834,-86.3333,61.0,5.75
Kiryat Gat,100,IL,1616494768,39,31.61,34.7642,88.0,13.78
Pevek,100,RU,1616495035,83,69.7008,170.3133,-5.15,3.74
Mangan,54,IN,1616495035,26,27.5167,88.5333,82.27,8.99
Pangoa,100,PE,1616495037,99,-12.1167,-73.0,65.59,1.92
Dawei,86,MM,1616495038,62,14.0833,98.2,85.6,4.94
Sittwe,2,MM,1616495039,65,20.15,92.9,85.01,12.46
Finschhafen,34,PG,1616495039,81,-6.6024,147.8681,82.47,13.38
Chui,99,UY,1616495041,88,-33.6971,-53.4616,64.31,1.25
Kaputa,100,ZM,1616495041,91,-8.4689,29.6619,68.47,1.63
Hong Kong,99,HK,1616495042,61,22.2855,114.1577,68.0,1.01
Penzance,40,GB,1616495043,81,50.1186,-5.5371,50.0,18.41
Cidreira,100,BR,1616495044,78,-30.1811,-50.2056,73.63,11.79
Kasba,0,IN,1616495044,7,25.85,87.55,102.31,13.13
Aranos,70,NA,1616495045,50,-24.1333,19.1167,79.0,13.69
Kasempa,31,ZM,1616495046,65,-13.4584,25.8338,76.98,10.47
Gemona,85,IT,1616495047,50,46.2794,13.1431,52.0,3.0
Khatanga,100,RU,1616495047,87,71.9667,102.5,-7.56,7.09
Mitsamiouli,20,KM,1616495049,66,-11.3847,43.2844,87.8,5.75
Isangel,75,VU,1616495049,83,-19.55,169.2667,77.0,9.86
Broome,1,US,1616495050,45,42.2506,-75.833,39.2,4.61
Flin Flon,7,CA,1616495051,85,54.7682,-101.865,-2.69,8.95
Souillac,20,MU,1616495052,70,-20.5167,57.5167,86.0,12.66
Castro,7,BR,1616495053,95,-24.7911,-50.0119,62.2,2.13
Dyurtyuli,100,RU,1616495054,97,55.4911,54.8688,33.15,12.62
Tuatapere,100,NZ,1616495055,97,-46.1333,167.6833,55.0,1.01
Homer,90,US,1616495056,69,59.6425,-151.5483,30.0,3.44
Laguna,1,US,1616495057,81,38.421,-121.4238,51.8,5.75
El Astillero,0,ES,1616495058,71,43.4009,-3.8205,59.0,3.44
Mauá,0,BR,1616495059,78,-23.6678,-46.4614,73.0,1.14
Jamiltepec,1,MX,1616495060,74,16.2833,-97.8167,64.08,3.8
Grindavik,75,IS,1616495061,93,63.8424,-22.4338,33.8,9.22
Moba,0,CN,1616495061,40,33.2288,105.0179,54.81,7.18
Harper,92,LR,1616495063,72,4.375,-7.7169,82.94,4.83
Anadyr,90,RU,1616495063,92,64.75,177.4833,14.0,33.55
Esna,0,EG,1616495066,9,25.2934,32.554,105.8,16.11
São Filipe,9,CV,1616495067,72,14.8961,-24.4956,70.02,8.52
Cuenca,97,EC,1616494974,100,-2.8833,-78.9833,53.6,2.3
Kaeo,82,NZ,1616495068,88,-35.1,173.7833,59.0,3.0
Zelenoborsk,100,RU,1616495069,84,61.4669,64.0333,29.39,9.28
Lüderitz,4,NA,1616495070,61,-26.6481,15.1594,73.85,5.53
Deputatsky,100,RU,1616495071,95,69.3,139.9,-15.68,5.1
Acapulco de Juárez,0,MX,1616494967,64,16.8634,-99.8901,72.23,4.74
Yangi Marg`ilon,100,UZ,1616495073,22,40.4272,71.7189,66.2,6.91
Buraidah,0,SA,1616495074,17,26.326,43.975,96.8,16.11
Laas,0,IT,1616495075,27,46.6166,10.7002,51.01,3.44
Hashtrūd,51,IR,1616495076,38,37.4779,47.0508,60.66,24.67
Saint-Philippe,40,RE,1616495076,66,-21.3585,55.7679,87.8,10.36
Yakeshi,30,CN,1616495077,88,49.2833,120.7333,26.17,0.38
Carnarvon,0,AU,1616495078,69,-24.8667,113.6333,78.8,21.85
Evensk,100,RU,1616495079,96,61.95,159.2333,20.71,5.12
Doha,0,QA,1616495080,12,25.2867,51.5333,96.8,10.36
Port Elizabeth,0,ZA,1616495081,73,-33.918,25.5701,73.4,16.11
Mackay,100,AU,1616495081,89,-21.15,149.2,80.6,6.91
Tselinnoye,100,RU,1616495082,99,53.0833,85.6667,33.1,5.79
Berdigestyakh,98,RU,1616495083,88,62.0989,126.6992,-8.99,11.43
Kiruna,20,SE,1616495084,70,67.8557,20.2251,39.2,19.57
Yar-Sale,100,RU,1616495084,95,66.8333,70.8333,23.34,10.96
Kahului,1,US,1616495071,100,20.8947,-156.47,66.0,6.13
Karasburg,5,NA,1616495086,38,-28.0167,18.75,83.26,15.73
Biltine,76,TD,1616495087,8,14.5333,20.9167,102.16,6.49
Coahuayana Viejo,0,MX,1616495087,58,18.7333,-103.6833,64.63,2.98
Longonjo,40,AO,1616495088,73,-12.9067,15.2533,71.6,3.24
Ambilobe,55,MG,1616495089,66,-13.2,49.05,87.64,3.2
Odesa,0,UA,1616495090,33,46.4775,30.7326,42.8,15.66
Astorga,0,BR,1616495091,88,-23.2325,-51.6656,73.4,5.53
Qaanaaq,93,GL,1616495091,67,77.484,-69.3632,-17.72,7.25
Cayenne,75,GF,1616495092,100,4.9333,-52.3333,75.99,2.3
Freetown,40,SL,1616495093,74,8.484,-13.2299,80.6,9.22
Kimbe,99,PG,1616495094,88,-5.5502,150.1429,78.58,1.28
Rocha,100,UY,1616495006,95,-34.4833,-54.3333,61.45,1.7
Rawson,17,AR,1616495095,49,-43.3002,-65.1023,63.54,3.98
Lago da Pedra,100,BR,1616495096,97,-4.3333,-45.1667,71.87,0.36
Kratovo,75,MK,1616495097,60,42.0792,22.1814,39.2,2.3
Dingle,39,PH,1616495097,80,10.9995,122.6711,79.32,12.71
Witu,1,KE,1616495099,58,-2.3889,40.4382,91.4,10.36
Whitecourt,96,CA,1616495100,94,54.1502,-115.6855,21.47,3.38
Jacareí,20,BR,1616495101,94,-23.3053,-45.9658,66.2,2.3
Tual,66,ID,1616495101,70,-5.6667,132.75,84.72,6.51
Davila,20,PH,1616495102,51,18.4726,120.5763,86.0,11.5
Coquimbo,75,CL,1616495059,94,-29.9533,-71.3436,55.4,0.89
Los Llanos de Aridane,75,ES,1616495104,52,28.6585,-17.9182,66.2,5.75
Hare Bay,7,CA,1616495104,60,48.8499,-54.0148,39.2,12.66
Daitari,28,IN,1616495105,13,21.1,85.75,100.65,5.06
Hollins,90,US,1616495106,71,37.3413,-79.9431,46.4,3.44
Pankovka,28,RU,1616495107,57,58.5,31.1999,33.33,4.03
Mossamedes,40,AO,1616495107,65,-15.1961,12.1522,78.8,12.66
Korem,12,ET,1616495108,8,12.5058,39.5228,68.67,11.92
Viedma,0,AR,1616495109,46,-40.8135,-62.9967,62.26,12.57
Quatre Cocos,20,MU,1616495110,70,-20.2078,57.7625,87.01,12.66
Moerai,22,PF,1616495111,82,-22.4333,-151.3333,79.09,13.27
Upata,70,VE,1616495112,91,8.0086,-62.3989,75.0,5.55
Qarqīn,0,AF,1616495112,30,37.4185,66.0436,73.44,4.27
Pacific Grove,20,US,1616495113,76,36.6177,-121.9166,51.8,12.66
Saldanha,0,ZA,1616494826,18,-33.0117,17.9442,95.0,4.61
Itaqui,97,BR,1616495115,97,-29.1253,-56.5531,67.91,3.47
Codrington,94,AU,1616495116,94,-38.2667,141.9667,63.0,8.95
Port Hardy,75,CA,1616495117,81,50.6996,-127.4199,42.8,5.75
Tiksi,100,RU,1616495117,100,71.6872,128.8694,-21.06,5.79
Wuwei,71,CN,1616495118,9,37.9281,102.6414,57.24,7.94
Camacha,75,PT,1616495119,48,33.0833,-16.3333,62.6,6.91
Mayor Pablo Lagerenza,51,PY,1616495120,98,-19.9309,-60.7718,68.54,6.46
Mafeteng,78,LS,1616495122,22,-29.823,27.2374,72.09,4.12
Níjar,20,ES,1616495101,67,36.9665,-2.206,60.8,3.44
Pisco,0,PE,1616495123,82,-13.7,-76.2167,66.2,5.75
Slavonski Brod,3,HR,1616495124,51,45.1603,18.0156,48.0,4.0
Paita,79,PE,1616495125,75,-5.0892,-81.1144,73.9,9.17
Nabire,90,ID,1616495125,84,-3.3667,135.4833,78.6,1.86
Kurumkan,46,RU,1616495126,82,54.3,110.3,27.91,5.35
Rundu,35,NA,1616495127,46,-17.9333,19.7667,83.53,10.33
Upernavik,100,GL,1616495129,95,72.7868,-56.1549,-12.51,4.59
Eydhafushi,48,MV,1616495131,69,5.1033,73.0708,83.91,10.67
Kiunga,100,PG,1616495132,96,-6.1219,141.2906,76.87,2.17
São Miguel do Araguaia,100,BR,1616495133,88,-13.275,-50.1628,70.81,4.29
Shakawe,14,BW,1616495134,40,-18.3667,21.85,86.7,10.33
Yalta,85,UA,1616495134,58,44.5,34.1667,42.01,2.71
Bathsheba,20,BB,1616495135,61,13.2167,-59.5167,77.0,19.57
Flinders,82,AU,1616495136,97,-34.5833,150.8552,68.0,1.01
Verkhoyansk,100,RU,1616495137,93,67.5447,133.385,-11.72,4.25
Horsham,75,GB,1616495137,71,51.064,-0.3272,50.0,6.91
Hermon,90,US,1616495138,100,44.8101,-68.9134,30.2,4.61
Kainantu,98,PG,1616495139,97,-6.2887,145.8655,62.74,0.47
Hay River,75,CA,1616495140,71,60.8156,-115.7999,-4.0,6.91
Cabo San Lucas,45,MX,1616494938,58,22.8909,-109.9124,57.99,1.01
Lodja,40,CD,1616495141,47,-3.4833,23.4333,88.29,4.07
Cametá,81,BR,1616495142,94,-2.2444,-49.4958,73.13,2.75
Tynda,87,RU,1616495143,90,55.1667,124.7167,3.47,3.83
Kruisfontein,0,ZA,1616495144,48,-34.0033,24.7314,82.0,5.99
Fortuna,1,US,1616495145,87,40.5982,-124.1573,45.0,11.5
Beatrice,90,US,1616495146,93,40.2681,-96.747,50.0,11.5
Mindelo,20,CV,1616495147,60,16.8901,-24.9804,71.6,26.46
Ajdabiya,34,LY,1616495147,54,30.7554,20.2263,61.95,28.1
Sisimiut,78,GL,1616495148,98,66.9395,-53.6735,-5.98,12.44
Viseu,11,PT,1616495149,47,40.661,-7.9097,57.0,3.0
Maragogi,29,BR,1616495150,83,-9.0122,-35.2225,76.6,3.62
Ilulissat,75,GL,1616495150,65,69.2167,-51.1,-2.2,14.97
Bosaso,0,SO,1616495151,70,11.2842,49.1816,84.2,11.5
Marawi,100,PH,1616495152,83,7.9986,124.2928,82.99,1.99
Owando,100,CG,1616495153,56,-0.4819,15.8999,85.84,2.62
Zhuhai,20,CN,1616495154,55,22.2769,113.5678,68.0,4.61
Pimenta Bueno,75,BR,1616495155,98,-11.6725,-61.1936,69.24,3.2
Bethel,1,US,1616495156,80,41.3712,-73.414,34.0,2.42
Mareeba,75,AU,1616495157,83,-17.0,145.4333,81.0,2.26
Santiago del Estero,0,AR,1616494897,88,-27.7951,-64.2615,58.78,1.1
Yulara,40,AU,1616495158,50,-25.2406,130.9889,80.6,5.75
Caribou,1,US,1616495159,59,46.8606,-68.012,32.0,4.61
Beşikdüzü,75,TR,1616495160,93,41.052,39.2284,51.8,17.27
Taksimo,100,RU,1616495161,95,56.3444,114.8794,25.65,0.94
Olafsvik,68,IS,1616495162,57,64.8945,-23.7142,35.91,13.58
Katobu,100,ID,1616495163,87,-4.9408,122.5276,77.76,2.15
Thinadhoo,65,MV,1616495163,65,0.5333,72.9333,83.64,5.55
Byron Bay,90,AU,1616495165,94,-28.65,153.6167,73.4,10.36
Khudumelapye,61,BW,1616495165,42,-23.8833,24.75,80.65,14.32
Carahue,90,CL,1616495166,100,-38.7,-73.1667,50.0,1.14
Bintulu,40,MY,1616495167,89,3.1667,113.0333,86.0,4.61
Neiafu,42,TO,1616495168,76,-18.65,-173.9833,81.7,5.73
Seoul,0,KR,1616495169,57,37.5683,126.9778,53.6,8.05
Bjerkvik,75,NO,1616495170,60,68.5597,17.5189,41.0,12.66
Nago,20,JP,1616495171,55,26.5881,127.9761,62.6,11.5
Lang Son,51,VN,1616495172,50,21.8333,106.7333,71.87,2.24
Masterton,100,NZ,1616494990,88,-40.9597,175.6575,59.0,1.01
Padang,75,ID,1616495068,78,-0.9492,100.3543,82.4,4.61
Hambantota,75,LK,1616495173,66,6.1241,81.1185,89.6,11.5
Salamanca,48,ES,1616495174,54,40.8333,-6.0,53.01,6.49
Vizinga,100,RU,1616495175,91,61.0749,50.1031,30.47,6.13
Lavrentiya,91,RU,1616495176,97,65.5833,-171.0,-9.13,1.45
Amguri,0,IN,1616495177,9,26.8,94.5333,97.88,8.61
Okhotsk,100,RU,1616495177,96,59.3833,143.3,8.29,10.25
Acheng,0,CN,1616495178,49,45.5454,126.977,48.2,2.24
Três Barras,100,BR,1616495179,99,-26.1064,-50.3222,66.42,1.48
Amahai,84,ID,1616495180,75,-3.3333,128.9167,82.42,2.55
Vanimo,93,PG,1616495181,81,-2.6741,141.3028,80.29,4.85
Saint George,1,US,1616495181,66,37.1041,-113.5841,48.99,5.75
Bereda,2,ES,1616495183,91,43.2686,-7.5406,62.01,3.0
Ilebo,77,CD,1616495183,47,-4.3167,20.5833,90.16,1.39
Opuwo,15,NA,1616495184,49,-18.0607,13.84,82.98,8.93
Patnongon,94,PH,1616495185,67,10.9132,121.9937,83.86,8.03
Narsaq,1,GL,1616495186,41,60.9167,-46.05,14.0,6.91
Huanren,95,CN,1616495187,64,41.2647,125.3667,44.67,6.11
Dobryatino,72,RU,1616495188,77,55.5055,41.3195,33.19,6.44
Sørland,20,NO,1616495188,75,67.667,12.6934,42.8,25.32
Labuhan,95,ID,1616495189,77,-6.8844,112.2051,82.11,11.39
Lugovoy,100,KZ,1616495190,75,42.9472,72.7644,49.1,18.28
Yasnyy,75,RU,1616495191,88,51.0333,59.8742,25.97,10.11
Río Gallegos,90,AR,1616495192,58,-51.6226,-69.2181,55.4,18.41
Dhidhdhoo,9,MV,1616495192,70,6.8833,73.1,83.73,7.31
Muros,0,ES,1616495193,73,42.7762,-9.0603,57.0,6.02
Hamilton,75,US,1616495185,46,39.1834,-84.5333,53.01,11.5
Torrington,10,US,1616495194,95,41.8007,-73.1212,34.0,1.01
Richards Bay,16,ZA,1616495195,57,-28.783,32.0377,77.0,8.59
Kinablangan,100,PH,1616495196,85,7.6947,126.5503,78.94,4.29
Bay Roberts,20,CA,1616495197,60,47.5999,-53.2648,37.99,24.16
Bayjī,100,IQ,1616495197,70,34.9311,43.487,67.01,9.31
Mityana,20,UG,1616495198,73,0.4175,32.0228,78.8,13.8
Nombre de Dios,89,MX,1616495199,54,23.85,-104.2333,47.79,7.58
Mandalgovi,1,MN,1616495201,22,45.7625,106.2708,45.41,10.09
Lata,13,PT,1616495201,87,40.1629,-8.3327,60.01,1.01
Aklavik,7,CA,1616495202,65,68.2191,-135.0107,-4.0,10.36
Cascavel,99,BR,1616495203,91,-24.9558,-53.4553,65.48,1.34
Leningradskiy,100,RU,1616495204,90,69.3833,178.4167,-9.62,7.74
Cabedelo,20,BR,1616495205,100,-6.9811,-34.8339,77.0,5.75
Nioki,52,CD,1616495206,49,-2.7167,17.6833,90.59,2.01
Fort-Shevchenko,100,KZ,1616495207,52,44.5086,50.263,50.47,25.66
Naliya,0,IN,1616495207,23,23.2667,68.8333,91.17,14.81
Thunder Bay,75,CA,1616494913,93,48.4001,-89.3168,33.01,3.44
Araouane,53,ML,1616495209,10,18.9048,-3.5265,79.47,18.88
Siocon,100,PH,1616495209,80,7.7061,122.1353,81.75,5.26
Havre-St-Pierre,20,CA,1616495210,75,50.2334,-63.5986,33.8,12.66
Ust-Kuyga,100,RU,1616495211,96,70.0167,135.6,-16.02,6.42
